brand,model,price,year,mileage,city,transmission_type,color,fuel,date
Audi,Q3,2250000,2021,65000,6 أكتوبر,أتوماتيك,زيتوني,بنزين,2025-04-21
Mercedes,C 180,2650000,2022,38000,6 أكتوبر,أتوماتيك,ذهبي,بنزين,2025-04-21
Hyundai,Accent RB,705000,2019,27000,القاهرة,أتوماتيك,سماوى,بنزين,2025-04-21
Kia,Sportage,1400000,2021,68,الجيزة,أتوماتيك,فيراني,بنزين,2025-04-21
Hyundai,Tucson GDI,1250000,2020,146000,الزقازيق,أتوماتيك,رمادي,بنزين,2025-04-21
Daewoo,Lanos 2,280000,2003,199000,التجمع - القاهرة الجديدة,مانيوال,أبيض,بنزين,2025-04-21
Speranza,A516,255000,2008,230000,القاهرة,أتوماتيك,برونزي,بنزين,2025-04-21
Mercedes,C 180,2700000,2022,37000,6 أكتوبر,أتوماتيك,ذهبي,بنزين,2025-04-21
Citroën,C5 Aircross,1360000,2023,86000,التجمع - القاهرة الجديدة,أتوماتيك,رمادي,بنزين,2025-04-21
Opel,Insignia,1380000,2020,130000,الفيوم,أتوماتيك,الأزرق الداكن,بنزين,2025-04-21
Alfa Romeo,Giulia,3250000,2025,5000,مصر الجديدة,أتوماتيك,رمادي,بنزين,2025-04-20
Mercedes,C 180,2100000,2018,100000,المهندسين,أتوماتيك,أبيض,بنزين,2025-04-20
Daewoo,Lanos,240000,2001,123456,دمياط,مانيوال,احمر,بنزين,2025-04-21
Mercedes,C 200,2650000,2022,75000,الشروق,أتوماتيك,أبيض,بنزين,2025-04-21
Suzuki,Swift,720000,2022,56000,مدينتى,أتوماتيك,فضي,بنزين,2025-04-21
Hyundai,Verna,280000,2009,407000,طنطا,مانيوال,فضي,بنزين,2025-04-21
Nissan,Sunny,470000,2016,147000,شبين الكوم,أتوماتيك,أسود,بنزين,2025-04-20
Mitsubishi,Eclipse Cross,1480000,2023,20000,مدينة نصر,أتوماتيك,فضي,بنزين,2025-04-20
Skoda,Octavia A5,550000,2008,220000,القاهرة,أتوماتيك,بترولي,بنزين,2025-04-21
Chevrolet,Aveo,390000,2012,200000,الإسكندرية,أتوماتيك,رمادي,بنزين,2025-04-21
Hyundai,Elantra MD,850000,2014,92304,القاهرة,أتوماتيك,أسود,بنزين,2025-04-21
Renault,Logan,246000,2010,170000,القاهرة,مانيوال,رمادي,بنزين,2025-04-21
Daihatsu,SIRION,190000,1999,261672,القاهرة,أتوماتيك,الأزرق الداكن,بنزين,2025-04-21
Proton,Gen 2,430000,2012,223000,الغردقة,أتوماتيك,أسود,بنزين,2025-04-21
Renault,Megane,220000,2000,275000,الإسكندرية,أتوماتيك,ذهبي,بنزين,2025-04-21
Chevrolet,Captiva,1075000,2021,38000,مدينتى,أتوماتيك,أسود,بنزين,2025-04-21
